debut_year,title_display,artist_display,p_stance,p_relationship_doc
2013,Wake Me Up!,Avicii,0.9560224413871765,0.010944577865302563
2019,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.9099870324134827,0.07369627058506012
2013,Royals,Lorde,0.9312127232551575,0.021409770473837852
2019,The Bones,Maren Morris,0.9244834780693054,0.04463920742273331
2001,Family Affair,Mary J. Blige,0.9527503252029419,0.003389783203601837
2009,TiK ToK,Ke$ha,0.941600501537323,0.0026574311777949333
2016,Panda,Desiigner,0.9372681975364685,0.001213671755976975
2011,Good Feeling,Flo Rida,0.9623913764953613,0.0013858176534995437
2017,Bodak Yellow (Money Moves),Cardi B,0.9108631014823914,0.05000489205121994
2019,Suge,DaBaby,0.9299510717391968,0.0037507887464016676
2008,So What,P!nk,0.9987886548042297,0.2135411500930786
2013,Let It Go,Idina Menzel,0.9628831148147583,0.06483088433742523
